"date","site","heure_obs","fraction","nom_sci","abondance","largeur_riviere","profondeur_riviere","vitesse_courant","transparence_eau","temperature_eau_c","ID_observation"
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Baetis",3,3.86,0.26,2.644,"élevée",10.8,1
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Ephemerella",40,3.86,0.26,2.644,"élevée",10.8,2
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Eurylophella",1,3.86,0.26,2.644,"élevée",10.8,3
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Epeorus",8,3.86,0.26,2.644,"élevée",10.8,4
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Leucrocuta",3,3.86,0.26,2.644,"élevée",10.8,5
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Leptophlebiidae",12,3.86,0.26,2.644,"élevée",10.8,6
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Glossosoma",3,3.86,0.26,2.644,"élevée",10.8,7
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Hydropsychidae",2,3.86,0.26,2.644,"élevée",10.8,8
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Ceratopsyche",21,3.86,0.26,2.644,"élevée",10.8,9
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Hydropsyche",2,3.86,0.26,2.644,"élevée",10.8,10
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Lepidostoma",9,3.86,0.26,2.644,"élevée",10.8,11
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Hydatophylax | Pycnopsyche",1,3.86,0.26,2.644,"élevée",10.8,12
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Dolophilodes",6,3.86,0.26,2.644,"élevée",10.8,13
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Rhyacophila",1,3.86,0.26,2.644,"élevée",10.8,14
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Paracapnia",1,3.86,0.26,2.644,"élevée",10.8,15
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Sweltsa",7,3.86,0.26,2.644,"élevée",10.8,16
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Leuctra",1,3.86,0.26,2.644,"élevée",10.8,17
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Acroneuria",5,3.86,0.26,2.644,"élevée",10.8,18
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Isoperla",1,3.86,0.26,2.644,"élevée",10.8,19
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Probezzia",2,3.86,0.26,2.644,"élevée",10.8,20
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Ceratopogon",1,3.86,0.26,2.644,"élevée",10.8,21
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Tanytarsini",38,3.86,0.26,2.644,"élevée",10.8,22
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Orthocladiinae",13,3.86,0.26,2.644,"élevée",10.8,23
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Pentaneurini",4,3.86,0.26,2.644,"élevée",10.8,24
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Hemerodromia",2,3.86,0.26,2.644,"élevée",10.8,25
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Simulium",1,3.86,0.26,2.644,"élevée",10.8,26
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Antocha",1,3.86,0.26,2.644,"élevée",10.8,27
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Dicranota",1,3.86,0.26,2.644,"élevée",10.8,28
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Hexatoma",2,3.86,0.26,2.644,"élevée",10.8,29
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Tipula",1,3.86,0.26,2.644,"élevée",10.8,30
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Promoresia",3,3.86,0.26,2.644,"élevée",10.8,31
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Boyeria",5,3.86,0.26,2.644,"élevée",10.8,32
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Cordulegaster",3,3.86,0.26,2.644,"élevée",10.8,33
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Acari",7,3.86,0.26,2.644,"élevée",10.8,34
"2021-10-01","100_92_R01","10:00:0",0.208333333333333,"Pisidium",12,3.86,0.26,2.644,"élevée",10.8,35
"2019-09-21","105_101_R01","15:05:0",0.0625,"Ephemerella",19,13.4,0.23,0.748,"faible",15.4,36
"2019-09-21","105_101_R01","15:05:0",0.0625,"Eurylophella",7,13.4,0.23,0.748,"faible",15.4,37
"2019-09-21","105_101_R01","15:05:0",0.0625,"Epeorus",11,13.4,0.23,0.748,"faible",15.4,38
"2019-09-21","105_101_R01","15:05:0",0.0625,"Leucrocuta",8,13.4,0.23,0.748,"faible",15.4,39
"2019-09-21","105_101_R01","15:05:0",0.0625,"Maccaffertium",4,13.4,0.23,0.748,"faible",15.4,40
"2019-09-21","105_101_R01","15:05:0",0.0625,"Rhithrogena",1,13.4,0.23,0.748,"faible",15.4,41
"2019-09-21","105_101_R01","15:05:0",0.0625,"Leptophlebiidae",12,13.4,0.23,0.748,"faible",15.4,42
